ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
575,American Psycho,2000,102,7.6,716000,Mary Harron,"Bret Easton Ellis, Mary Harron, Guinevere Turner",Christian Bale|Justin Theroux|Josh Lucas,Crime|Drama|Horror,7000000,34300000
576,Bride of Chucky,1998,89,5.6,64000,Ronny Yu,Don Mancini,Jennifer Tilly|Brad Dourif|Katherine Heigl,Comedy|Horror|Thriller,25000000,50671850
577,Tequila Body Shots,1999,97,3.5,403,Tony Shyu,Tony Shyu,Joey Lawrence|Dru Mouser|Nathan Anderson,Comedy|Horror|Thriller,1700000,9037000
578,The Rage: Carrie 2,1999,104,4.8,18000,"Katt Shea, Robert Mandel","Stephen King, Rafael Moreu",Emily Bergl|Jason London|Dylan Bruno,Drama|Horror|Sci-Fi,21000000,17762705
579,Stigmata,1999,103,6.2,72000,Rupert Wainwright,"Tom Lazarus, Rick Ramage",Patricia Arquette|Gabriel Byrne|Jonathan Pryce,Horror|Mystery,29000000,50041732
580,Urban Legend,1998,99,5.6,71000,Jamie Blanks,Silvio Horta,Jared Leto|Alicia Witt|Rebecca Gayheart,Horror|Mystery|Thriller,14000000,72527595
581,End of Days,1999,122,5.8,117000,Peter Hyams,Andrew W. Marlowe,Arnold Schwarzenegger|Gabriel Byrne|Robin Tunney,Action|Fantasy|Horror,100000000,212000000
582,Psycho,1998,105,4.6,51000,Gus Van Sant,"Robert Bloch, Joseph Stefano",Vince Vaughn|Anne Heche|Julianne Moore,Horror|Mystery|Thriller,60000000,37100000
583,Lost Souls,2000,97,4.8,11000,Janusz Kaminski,"Pierce Gardner, Betsy Stahl",Winona Ryder|Ben Chaplin|Sarah Wynter,Drama|Horror|Thriller,50000000,31355910
584,What Lies Beneath,2000,130,6.6,136000,Robert Zemeckis,"Clark Gregg, Sarah Kernochan",Harrison Ford|Michelle Pfeiffer|Katharine Towne,Drama|Horror|Mystery,100000000,291400000
585,Sleepy Hollow,1999,105,7.3,384000,Tim Burton,"Washington Irving, Kevin Yagher, Andrew Kevin Walker",Johnny Depp|Christina Ricci|Miranda Richardson,Fantasy|Horror|Mystery,100000000,206071526
586,Hollow Man,2000,112,5.8,138000,Paul Verhoeven,"Gary Scott Thompson, Andrew W. Marlowe",Kevin Bacon|Elisabeth Shue|Josh Brolin,Action|Horror|Sci-Fi,95000000,190213455
587,Stir of Echoes,1999,99,6.9,88000,David Koepp,"Richard Matheson, David Koepp",Kevin Bacon|Zachary David Cope|Kathryn Erbe,Horror|Mystery|Thriller,12000000,21100000
588,Bones,2001,96,4.4,8200,Ernest R. Dickerson,"Adam Simon, Tim Metcalfe",Snoop Dogg|Pam Grier|Michael T. Weiss,Crime|Horror,10000000,7316658
589,The Haunting,1999,113,5.0,80000,Jan de Bont,"David Self, Shirley Jackson",Liam Neeson|Catherine Zeta-Jones|Owen Wilson,Fantasy|Horror|Mystery,80000000,177300000
590,Komodo,1999,90,4.2,3700,Michael Lantieri,"Hans Bauer, Craig Mitchell",Jill Hennessy|Billy Burke|Kevin Zegers,Adventure|Horror|Sci-Fi,10340000,207496
591,Ringu,1998,96,7.2,78000,Hideo Nakata,"Hiroshi Takahashi, Kôji Suzuki",Nanako Matsushima|Miki Nakatani|Yûko Takeuchi,Horror|Mystery,1200000,19400000
592,House on Haunted Hill,1999,93,5.6,60000,William Malone,"Robb White, Dick Beebe",Geoffrey Rush|Famke Janssen|Taye Diggs,Horror|Mystery|Thriller,37000000,40846082
593,The Blair Witch Project,1999,81,6.5,286000,"Daniel Myrick, Eduardo Sánchez","Daniel Myrick, Eduardo Sánchez, Heather Donahue",Heather Donahue|Michael C. Williams|Joshua Leonard,Horror|Mystery,60000,248639099
594,Blade II,2002,117,6.7,234000,Guillermo del Toro,"Marv Wolfman, Gene Colan, David S. Goyer",Wesley Snipes|Kris Kristofferson|Ron Perlman,Action|Horror|Sci-Fi,54000000,155010032
595,Shadow of the Vampire,2000,92,6.9,44000,E. Elias Merhige,Steven Katz,John Malkovich|Willem Dafoe|Udo Kier,Drama|Horror,8000000,8279017
596,Urban Legends: Final Cut,2000,97,4.4,19000,John Ottman,"Silvio Horta, Paul Harris Boardman, Scott Derrickson",Jennifer Morrison|Matthew Davis|Hart Bochner,Horror|Mystery,14000000,38574362
597,Final Destination,2000,98,6.7,280000,James Wong,"Glen Morgan, James Wong, Jeffrey Reddick",Devon Sawa|Ali Larter|Kerr Smith,Horror|Thriller,23000000,112900000
598,"Godzilla, King of the Monsters!",1956,80,6.3,8800,"Ishirô Honda, Terry O. Morse","Shigeru Kayama, Takeo Murata, Ishirô Honda",Raymond Burr|Takashi Shimura|Momoko Kôchi,Action|Horror|Sci-Fi,25000,2000000
599,Bats,1999,91,4.0,11000,Louis Morneau,John Logan,Lou Diamond Phillips|Dina Meyer|Bob Gunton,Horror|Sci-Fi|Thriller,5250000,10200000
600,Exorcist: The Beginning,2004,114,5.1,40000,Renny Harlin,"William Peter Blatty, William Wisher, Caleb Carr",Stellan Skarsgård|Izabella Scorupco|James D'Arcy,Horror|Mystery|Thriller,80000000,78000586
601,Psycho Beach Party,2000,95,6.0,6600,Robert Lee King,Charles Busch,Lauren Ambrose|Nicholas Brendon|Thomas Gibson,Comedy|Horror|Mystery,1500000,268117
602,The Cell,2000,107,6.4,109000,Tarsem Singh,Mark Protosevich,Jennifer Lopez|Vince Vaughn|Vincent D'Onofrio,Crime|Horror|Sci-Fi,33000000,104155843
603,Jason X,2001,92,4.4,62000,James Isaac,"Todd Farmer, Victor Miller",Kane Hodder|Lexa Doig|Jeff Geddis,Action|Horror|Sci-Fi,11000000,16951798
604,Ringu 2,1999,95,5.9,15000,Hideo Nakata,"Hiroshi Takahashi, Kôji Suzuki",Miki Nakatani|Hitomi Satô|Kyôko Fukada,Horror|Mystery|Sci-Fi,6000000,31365000
605,Soul Survivors,2001,84,3.9,9600,Stephen Carpenter,Stephen Carpenter,Melissa Sagemiller|Wes Bentley|Casey Affleck,Horror|Mystery|Thriller,17000000,4299141
606,Dracula 2000,2000,99,4.9,36000,Patrick Lussier,"Joel Soisson, Patrick Lussier",Gerard Butler|Justine Waddell|Jonny Lee Miller,Action|Fantasy|Horror,28000000,47053625
607,The Gift,2000,112,6.7,75000,Sam Raimi,"Billy Bob Thornton, Tom Epperson",Cate Blanchett|Katie Holmes|Keanu Reeves,Drama|Fantasy|Horror,10000000,12008642
608,Halloween: Resurrection,2002,90,3.9,49000,Rick Rosenthal,"Debra Hill, John Carpenter, Larry Brand",Jamie Lee Curtis|Busta Rhymes|Brad Loree,Horror|Thriller,13000000,37700000
609,Ghosts of Mars,2001,98,4.9,58000,John Carpenter,"Larry Sulkis, John Carpenter",Natasha Henstridge|Ice Cube|Pam Grier,Action|Horror|Sci-Fi,28000000,14010832
610,Book of Shadows: Blair Witch 2,2000,90,4.0,40000,Joe Berlinger,"Daniel Myrick, Eduardo Sánchez, Dick Beebe",Jeffrey Donovan|Stephen Barker Turner|Erica Leerhsen,Adventure|Fantasy|Horror,15000000,47737094
611,Ôdishon,1999,115,7.1,89000,Takashi Miike,"Ryû Murakami, Daisuke Tengan",Ryo Ishibashi|Eihi Shiina|Tetsu Sawaki,Drama|Horror|Mystery,250000,359853
612,Ringu 0: Bâsudei,2000,99,5.9,9900,Norio Tsuruta,"Hiroshi Takahashi, Kôji Suzuki",Yukie Nakama|Seiichi Tanabe|Kumiko Asô,Horror|Mystery|Thriller,6000000,11918069
613,Queen of the Damned,2002,101,5.2,60000,Michael Rymer,"Anne Rice, Scott Abbott, Michael Petroni",Aaliyah|Stuart Townsend|Marguerite Moreau,Drama|Fantasy|Horror,35000000,45479110
614,Valentine,2001,96,4.9,30000,Jamie Blanks,"Tom Savage, Donna Powers, Wayne Powers",Denise Richards|David Boreanaz|Marley Shelton,Horror|Mystery|Thriller,10000000,16300000
615,The Forsaken,2001,90,5.3,9200,J.S. Cardone,J.S. Cardone,Kerr Smith|Brendan Fehr|Izabella Miko,Action|Fantasy|Horror,15000000,8704851
616,Thir13en Ghosts,2001,91,5.6,94000,Steve Beck,"Robb White, Neal Marshall Stevens, Richard D'Ovidio",Tony Shalhoub|Shannon Elizabeth|Embeth Davidtz,Fantasy|Horror,42000000,68467960
617,House of 1000 Corpses,2003,89,6.0,93000,Rob Zombie,Rob Zombie,Sid Haig|Karen Black|Bill Moseley,Horror,7000000,17949758
618,Gojira tai Megagirasu: Jî shômetsu sakusen,2000,105,6.0,4600,"Masaaki Tezuka, Ishirô Honda","Hiroshi Kashiwabara, Wataru Mimura",Misato Tanaka|Shôsuke Tanihara|Masatô Ibu,Action|Horror|Sci-Fi,8300000,11068800
619,El espinazo del diablo,2001,106,7.4,71000,Guillermo del Toro,"Guillermo del Toro, Antonio Trashorras, David Muñoz",Marisa Paredes|Eduardo Noriega|Federico Luppi,Drama|Horror|Thriller,4500000,6582065
620,Scary Movie 2,2001,83,5.3,175000,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Buddy Johnson",Anna Faris|Marlon Wayans|Antony Acker,Comedy|Horror,45000000,141220678
621,Cursed,2005,97,5.0,35000,Wes Craven,Kevin Williamson,Christina Ricci|Jesse Eisenberg|Portia de Rossi,Comedy|Horror,35000000,19300000
622,Session 9,2001,100,6.4,63000,Brad Anderson,"Brad Anderson, Stephen Gevedon",David Caruso|Stephen Gevedon|Paul Guilfoyle,Drama|Horror|Mystery,1500000,1612259
623,Jeepers Creepers,2001,90,6.2,143000,Victor Salva,Victor Salva,Gina Philips|Justin Long|Jonathan Breck,Horror|Mystery,10000000,59217789
624,The Mothman Prophecies,2002,119,6.4,85000,Mark Pellington,"Richard Hatem, John A. Keel",Richard Gere|Laura Linney|David Eigenberg,Drama|Horror|Mystery,32000000,55305279
625,Tuno negro,2001,110,4.4,1200,"Pedro L. Barbero, Vicente J. Martín","Vicente J. Martín, Pedro L. Barbero",Silke|Jorge Sanz|Fele Martínez,Drama|Horror|Mystery,3000000,3098924
626,Darkness,2002,88,5.4,20000,Jaume Balagueró,"Jaume Balagueró, Fernando de Felipe, Miguel Tejada-Flores",Anna Paquin|Lena Olin|Iain Glen,Horror,10600000,33988736
627,Below,2002,105,6.1,24000,David Twohy,"Lucas Sussman, Darren Aronofsky, David Twohy",Bruce Greenwood|David Crow|Matthew Davis,Action|Horror|Mystery,40000000,2622015
628,Dog Soldiers,2002,105,6.8,66000,Neil Marshall,Neil Marshall,Sean Pertwee|Kevin McKidd|Emma Cleasby,Action|Horror|Thriller,2000000,3537283
629,Bubba Ho-Tep,2002,92,6.9,52000,Don Coscarelli,"Joe R. Lansdale, Don Coscarelli",Bruce Campbell|Ossie Davis|Bob Ivy,Comedy|Fantasy|Horror,1000000,1239541
630,They,2002,89,4.8,14000,Robert Harmon,Brendan Hood,Laura Regan|Marc Blucas|Ethan Embry,Horror|Mystery|Thriller,17000000,12840842
631,Dreamcatcher,2003,136,5.5,96000,Lawrence Kasdan,"Stephen King, William Goldman, Lawrence Kasdan",Morgan Freeman|Thomas Jane|Jason Lee,Drama|Horror|Sci-Fi,68000000,81240206
632,Kairo,2001,119,6.5,26000,Kiyoshi Kurosawa,Kiyoshi Kurosawa,Haruhiko Katô|Kumiko Asô|Koyuki,Horror|Mystery|Sci-Fi,25000000,318451
633,Ghost Ship,2002,91,5.6,109000,Steve Beck,"Mark Hanlon, John Pogue",Julianna Margulies|Gabriel Byrne|Ron Eldard,Horror|Mystery|Thriller,35000000,71142361
634,28 Days Later...,2002,113,7.5,446000,Danny Boyle,Alex Garland,Cillian Murphy|Naomie Harris|Christopher Eccleston,Drama|Horror|Sci-Fi,8000000,85700000
635,Aks,2001,184,5.8,1800,Rakeysh Omprakash Mehra,"Renzil D'Silva, Rakeysh Omprakash Mehra, Kamlesh Pandey",Amitabh Bachchan|Raveena Tandon|Manoj Bajpayee,Action|Crime|Horror,5700000,49000000
636,Man-Thing,2005,106,4.1,7000,Brett Leonard,"Steve Gerber, Hans Rodionoff",Jack Thompson|Matthew Le Nevez|Steve Bastoni,Action|Adventure|Horror,5000000,1123136
637,The Waking,2001,97,2.1,220,Tim Card,"Tim Card, Jim Yoakum",R.G. Armstrong|Kelly Rowen Kean|Tim Card,Horror,8500000,327418
638,The Trip,2003,87,2.6,152,Mark Cross,Mark Cross,Heather Shrake|Courtney Cole-Fendley|Larry Bagby,Action|Horror|Thriller,9500000,14776760
639,Feardotcom,2002,101,3.4,23000,William Malone,"Moshe Diamant, Josephine Coyle, Holly Payberg-Torroija",Stephen Dorff|Natascha McElhone|Stephen Rea,Crime|Horror|Thriller,40000000,18902015
640,Wrong Turn,2003,84,6.1,132000,Rob Schmidt,Alan B. McElroy,Eliza Dushku|Jeremy Sisto|Emmanuelle Chriqui,Horror|Thriller,12600000,28650575
641,Mindhunters,2004,106,6.3,64000,Renny Harlin,"Wayne Kramer, Kevin Brodbin",Val Kilmer|LL Cool J|Christian Slater,Crime|Horror|Thriller,27000000,21100000
642,The Ring,2002,115,7.1,375000,Gore Verbinski,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi",Naomi Watts|Martin Henderson|Brian Cox,Horror|Mystery,48000000,249348933
643,Jeepers Creepers 2,2003,106,5.7,71000,Victor Salva,Victor Salva,Jonathan Breck|Ray Wise|Nicki Aycox,Horror,17000000,63102666
644,Le pharmacien de garde,2003,84,5.2,687,Jean Veber,Jean Veber,Vincent Perez|Guillaume Depardieu|Clara Bellar,Crime|Drama|Horror,7750000,1372469
645,El segundo nombre,2002,98,5.4,1400,Paco Plaza,"Ramsey Campbell, Fernando Marías, Paco Plaza",Erica Prior|Trae Houlihan|Denis Rafter,Horror|Thriller,2500000,1044665
646,May,2002,93,6.6,41000,Lucky McKee,Lucky McKee,Angela Bettis|Jeremy Sisto|Anna Faris,Drama|Horror,500000,264349
647,Cabin Fever,2002,93,5.6,84000,Eli Roth,"Eli Roth, Randy Pearlstein",Jordan Ladd|Rider Strong|James DeBello,Horror,1500000,30600000
648,The Order,2003,102,5.1,18000,Brian Helgeland,Brian Helgeland,Heath Ledger|Mark Addy|Shannyn Sossamon,Horror|Mystery|Thriller,35000000,11600000
649,The Lost Skeleton of Cadavra,2001,90,6.8,5100,Larry Blamire,Larry Blamire,Larry Blamire|Fay Masterson|Brian Howe,Comedy|Horror|Sci-Fi,40000,143312
650,Dead End,2003,85,6.5,32000,"Jean-Baptiste Andrea, Fabrice Canepa","Jean-Baptiste Andrea, Fabrice Canepa",Ray Wise|Lin Shaye|Mick Cain,Adventure|Horror|Mystery,900000,77000000
651,Honogurai mizu no soko kara,2002,101,6.7,35000,Hideo Nakata,"Kôji Suzuki, Takashige Ichise, Hideo Nakata",Hitomi Kuroki|Rio Kanno|Mirei Oguchi,Drama|Horror|Mystery,4000000,1686839
652,Final Destination 2,2003,90,6.2,182000,David R. Ellis,"J. Mackye Gruber, Eric Bress, Jeffrey Reddick",A.J. Cook|Ali Larter|Tony Todd,Horror|Thriller,26000000,90900000
653,Maléfique,2002,90,6.3,4500,Eric Valette,"Alexandre Charlot, Franck Magnier, François Cognard",Gérald Laroche|Philippe Laudenbach|Clovis Cornillac,Fantasy|Horror|Mystery,1500000,398016
654,Willard,2003,100,6.1,20000,Glen Morgan,"Glen Morgan, Gilbert Ralston, Stephen Gilbert",Crispin Glover|R. Lee Ermey|Laura Harring,Drama|Horror|Thriller,22000000,8564586
655,House of the Dead,2003,90,2.1,39000,Uwe Boll,"Mark A. Altman, Dan Bates, Dave Parker",Jonathan Cherry|Tyron Leitso|Clint Howard,Action|Adventure|Horror,12000000,13818181
656,A Sound of Thunder,2005,110,4.2,21000,Peter Hyams,"Ray Bradbury, Thomas Dean Donnelly, Joshua Oppenheimer",Edward Burns|Ben Kingsley|Catherine McCormack,Action|Adventure|Horror,80000000,11700000
657,Resident Evil: Apocalypse,2004,94,6.1,210000,Alexander Witt,Paul W.S. Anderson,Milla Jovovich|Sienna Guillory|Eric Mabius,Action|Horror|Sci-Fi,45000000,129400000
658,Suspect Zero,2004,99,5.8,21000,E. Elias Merhige,"Zak Penn, Billy Ray",Aaron Eckhart|Ben Kingsley|Carrie-Anne Moss,Crime|Horror|Mystery,27000000,13000000
659,The Texas Chainsaw Massacre,2003,98,6.2,152000,Marcus Nispel,"Kim Henkel, Tobe Hooper, Scott Kosar",Jessica Biel|Jonathan Tucker|Andrew Bryniarski,Horror,9500000,107967319
660,Gin gwai,2002,99,6.6,30000,"Danny Pang, Oxide Chun Pang","Yuet-Jan Hui, Danny Pang, Oxide Chun Pang",Angelica Lee|Chutcha Rujinanon|Lawrence Chou,Fantasy|Horror|Mystery,10706075,1766761
661,The Stepford Wives,2004,93,5.3,70000,Frank Oz,"Ira Levin, Paul Rudnick",Nicole Kidman|Bette Midler|Matthew Broderick,Comedy|Horror|Sci-Fi,90000000,102000000
662,Freddy vs. Jason,2003,97,5.7,127000,Ronny Yu,"Wes Craven, Victor Miller, Damian Shannon",Robert Englund|Ken Kirzinger|Kelly Rowland,Action|Horror,30000000,116643421
663,Il cartaio,2003,103,4.8,5700,Dario Argento,"Dario Argento, Franco Ferrini",Stefania Rocca|Liam Cunningham|Silvio Muccino,Horror|Mystery|Thriller,2600000,3368452
664,Alive,2002,119,5.5,1500,Ryûhei Kitamura,"Tsutomu Takahashi, Ryûhei Kitamura, Yûdai Yamaguchi",Hideo Sakaki|Ryô|Koyuki,Action|Drama|Horror,32000000,36700000
665,Club Dread,2004,104,5.7,31000,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme",Jay Chandrasekhar|Bill Paxton|Kevin Heffernan,Comedy|Horror|Mystery,8500000,5001655
666,Antikörper,2005,127,6.9,9000,Christian Alvart,Christian Alvart,Norman Reedus|Christian von Aster|André Hennicke,Crime|Drama|Horror,1900000,891133
667,Haute tension,2003,91,6.7,78000,Alexandre Aja,"Alexandre Aja, Grégory Levasseur",Cécile de France|Maïwenn|Philippe Nahon,Horror,2500000,6291958
668,Bhoot,2003,113,6.4,4000,Ram Gopal Varma,"Lalit Marathe, Sameer Sharma",Ajay Devgn|Urmila Matondkar|Nana Patekar,Horror|Mystery|Thriller,2700000,9600000
669,Gothika,2003,98,5.8,119000,Mathieu Kassovitz,Sebastian Gutierrez,Halle Berry|Penélope Cruz|Robert Downey Jr.,Horror|Mystery|Thriller,40000000,141591324
670,Riding the Bullet,2004,98,5.2,11000,Mick Garris,"Mick Garris, Stephen King",Jonathan Jackson|David Arquette|Barbara Hershey,Horror|Thriller,5000000,264505
672,Boogeyman,2005,89,4.2,33000,Stephen Kay,"Eric Kripke, Juliet Snowden, Stiles White",Barry Watson|Emily Deschanel|Lucy Lawless,Drama|Horror|Mystery,20000000,67192859
673,Blade: Trinity,2004,113,5.8,188000,David S. Goyer,"David S. Goyer, Marv Wolfman, Gene Colan",Wesley Snipes|Kris Kristofferson|Parker Posey,Action|Horror|Sci-Fi,65000000,128905366
674,Constantine,2005,121,7.0,374000,Francis Lawrence,"Jamie Delano, Garth Ennis, Kevin Brodbin",Keanu Reeves|Rachel Weisz|Djimon Hounsou,Action|Fantasy|Horror,100000000,230900000
675,Dawn of the Dead,2004,101,7.3,273000,Zack Snyder,"George A. Romero, James Gunn",Sarah Polley|Ving Rhames|Mekhi Phifer,Action|Horror,26000000,102278712
676,Ju-on,2002,92,6.7,48000,Takashi Shimizu,Takashi Shimizu,Megumi Okina|Misaki Itô|Misa Uehara,Horror,3500000,3657876
677,"Janghwa, Hongryeon",2003,114,7.1,68000,Jee-woon Kim,Jee-woon Kim,Lim Soo-jung|Yum Jung-ah|Kim Kap-su,Drama|Horror|Mystery,15100000,1100000
678,Shaun of the Dead,2004,99,7.9,594000,Edgar Wright,"Simon Pegg, Edgar Wright",Simon Pegg|Nick Frost|Kate Ashfield,Comedy|Horror,6000000,39396175
679,Anacondas: The Hunt for the Blood Orchid,2004,97,4.7,34000,Dwight H. Little,"Hans Bauer, Jim Cash, Jack Epps Jr.",Morris Chestnut|KaDee Strickland|Eugene Byrd,Action|Adventure|Horror,20000000,71000000
680,Chakushin ari,2003,112,6.2,19000,Takashi Miike,"Yasushi Akimoto, Minako Daira",Kô Shibasaki|Shin'ichi Tsutsumi|Kazue Fukiishi,Horror|Mystery,1700000,16200000
681,Saint Ange,2004,98,5.0,4900,Pascal Laugier,Pascal Laugier,Virginie Ledoyen|Lou Doillon|Catriona MacColl,Drama|Fantasy|Horror,320000,6782283
682,Ju-on 2,2003,92,6.3,11000,Takashi Shimizu,Takashi Shimizu,Noriko Sakai|Chiharu Niiyama|Kei Horie,Drama|Fantasy|Horror,20000000,70700000
683,Possession,2009,86,5.4,8200,"Joel Bergvall, Simon Sandquist","Michael Petroni, Won-mi Byun, Min-ho Song",Sarah Michelle Gellar|Lee Pace|Michael Landes,Drama|Horror|Mystery,2400000,1200000
684,Alone in the Dark,2005,99,2.4,47000,Uwe Boll,"Elan Mastai, Michael Roesch, Peter Scheerer",Christian Slater|Tara Reid|Stephen Dorff,Action|Horror|Sci-Fi,20000000,12693645
685,AVP: Alien vs. Predator,2004,101,5.7,212000,Paul W.S. Anderson,"Dan O'Bannon, Ronald Shusett, Jim Thomas",Sanaa Lathan|Lance Henriksen|Raoul Bova,Action|Adventure|Horror,70000000,177427090
686,The Zodiac,2005,158,5.3,7500,Alexander Bulkley,"Alexander Bulkley, Kelly Bulkley",Justin Chambers|Robin Tunney|Rory Culkin,Crime|Drama|Horror,1000000,86872
687,Halloween,2007,109,6.0,131000,Rob Zombie,"Rob Zombie, John Carpenter, Debra Hill",Scout Taylor-Compton|Malcolm McDowell|Tyler Mane,Horror,15000000,80460948
688,Open Water,2003,79,5.8,56000,Chris Kentis,Chris Kentis,Blanchard Ryan|Daniel Travis|Saul Stein,Adventure|Drama|Horror,130000,54700000
689,Romasanta,2004,90,5.2,3700,Paco Plaza,"Alfredo Conde, Elena Serra, Alberto Marini",Julian Sands|Elsa Pataky|John Sharian,Drama|Horror,4500000,432671
690,Captivity,2007,96,4.6,24000,Roland Joffé,"Larry Cohen, Joseph Tura",Elisha Cuthbert|Daniel Gillies|Pruitt Taylor Vince,Crime|Horror|Mystery,17000000,10921200
691,White Noise,2005,101,5.5,51000,Geoffrey Sax,Niall Johnson,Michael Keaton|Deborah Kara Unger|Ian McNeice,Drama|Horror|Mystery,10000000,91196419
692,The Ring Two,2005,110,5.4,101000,Hideo Nakata,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi",Naomi Watts|David Dorfman|Sissy Spacek,Horror|Mystery,50000000,161451538
693,Die Nacht der lebenden Loser,2004,89,5.6,3000,Matthias Dinter,Matthias Dinter,Tino Mewes|Manuel Cortez|Thomas Schmieder,Comedy|Horror,4410000,2107861
694,Sur le seuil,2003,97,6.3,1300,Éric Tessier,"Patrick Senécal, Éric Tessier",Michel Côté|Patrick Huard|Catherine Florent,Drama|Horror|Thriller,3200000,2014071
695,Hide and Seek,2005,101,5.9,89000,John Polson,Ari Schlossberg,Robert De Niro|Dakota Fanning|Famke Janssen,Horror|Mystery,30000000,127369981
696,Dark Water,2005,105,5.6,65000,Walter Salles,"Kôji Suzuki, Hideo Nakata, Takashige Ichise",Jennifer Connelly|Ariel Gade|John C. Reilly,Drama|Horror|Mystery,30000000,68357079
697,BloodRayne,2005,95,3.0,37000,Uwe Boll,Guinevere Turner,Kristanna Loken|Ben Kingsley|Michelle Rodriguez,Action|Fantasy|Horror,25000000,3650275
698,Cry Wolf,2005,90,5.8,29000,Jeff Wadlow,"Jeff Wadlow, Beau Bauman",Julian Morris|Lindy Booth|Jared Padalecki,Drama|Horror|Mystery,1000000,10047674
699,Silent Hill,2006,125,6.5,244000,Christophe Gans,Roger Avary,Radha Mitchell|Laurie Holden|Sean Bean,Horror|Mystery,50000000,100605135
700,The Amityville Horror,2005,90,5.9,117000,Andrew Douglas,"Scott Kosar, Jay Anson, Sandor Stern",Ryan Reynolds|Melissa George|Jimmy Bennett,Horror,19000000,107516369
701,Saw,2004,103,7.6,467000,James Wan,"Leigh Whannell, James Wan",Cary Elwes|Leigh Whannell|Danny Glover,Horror|Mystery|Thriller,1200000,103911669
702,Seed of Chucky,2004,87,4.9,50000,Don Mancini,Don Mancini,Jennifer Tilly|Brad Dourif|John Waters,Comedy|Horror|Thriller,12000000,24829644
703,Rise,2007,97,4.9,13000,Sebastian Gutierrez,Sebastian Gutierrez,Lucy Liu|Michael Chiklis|Carla Gugino,Action|Crime|Horror,18000000,26527510
704,30 Days of Night,2007,113,6.6,189000,David Slade,"Steve Niles, Stuart Beattie, Brian Nelson",Josh Hartnett|Melissa George|Danny Huston,Action|Horror|Thriller,30000000,75505973
705,The Grudge,2004,91,5.9,151000,Takashi Shimizu,"Stephen Susco, Takashi Shimizu",Sarah Michelle Gellar|Jason Behr|Clea DuVall,Horror|Mystery|Thriller,10000000,183474602
706,The Devil's Rejects,2005,107,6.7,106000,Rob Zombie,Rob Zombie,Sid Haig|Sheri Moon Zombie|Bill Moseley,Crime|Drama|Horror,7000000,20901859
707,Blood and Chocolate,2007,98,5.3,18000,Katja von Garnier,"Ehren Kruger, Christopher Landon, Annette Curtis Klause",Agnes Bruckner|Hugh Dancy|Olivier Martinez,Drama|Fantasy|Horror,15000000,6300000
708,House of Wax,2005,113,5.5,134000,Jaume Collet-Serra,"Charles Belden, Chad Hayes, Carey W. Hayes",Chad Michael Murray|Paris Hilton|Elisha Cuthbert,Horror|Thriller,40000000,68766121
709,Kvela karis gasagebi,2005,104,6.5,123000,Iain Softley,Ehren Kruger,Kate Hudson|Peter Sarsgaard|Joy Bryant,Drama|Horror|Mystery,43000000,93983911
710,Tamara,2005,98,5.0,11000,Jeremy Haft,Jeffrey Reddick,Jenna Dewan|Katie Stuart|Chad Faust,Drama|Fantasy|Horror,4750000,206871
711,The Cave,2005,97,5.1,41000,Bruce Hunt,"Michael Steinberg, Tegan West",Piper Perabo|Morris Chestnut|Cole Hauser,Adventure|Horror|Sci-Fi,30000000,33296457
712,The Exorcism of Emily Rose,2005,119,6.7,140000,Scott Derrickson,"Paul Harris Boardman, Scott Derrickson",Laura Linney|Tom Wilkinson|Shohreh Aghdashloo,Drama|Horror|Thriller,19000000,145166804
713,Chaos,2005,74,3.2,2300,David DeFalco,"Steven Jay Bernheim, David DeFalco",Kevin Gage|Sage Stallone|Kelly K.C. Quann,Horror|Thriller,30000000,7000000
714,The Eye,2008,98,5.4,56000,"David Moreau, Xavier Palud","Sebastian Gutierrez, Yuet-Jan Hui, Oxide Chun Pang",Jessica Alba|Alessandro Nivola|Parker Posey,Horror|Mystery,12000000,58010320
715,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,7.3,387000,Tim Burton,"John Logan, Hugh Wheeler, Christopher Bond",Johnny Depp|Helena Bonham Carter|Alan Rickman,Drama|Horror|Musical,50000000,152000000
716,Dnevnoy dozor,2006,132,6.4,35000,Timur Bekmambetov,"Timur Bekmambetov, Sergey Lukyanenko, Alexander Talal",Konstantin Khabenskiy|Mariya Poroshina|Vladimir Menshov,Action|Fantasy|Horror,4200000,42918532
717,Tideland,2005,120,6.3,35000,Terry Gilliam,"Tony Grisoni, Terry Gilliam, Mitch Cullin",Jeff Bridges|Jennifer Tilly|Jodelle Ferland,Drama|Fantasy|Horror,12000000,566611
718,Final Destination 3,2006,93,5.8,154000,James Wong,"Glen Morgan, James Wong, Jeffrey Reddick",Mary Elizabeth Winstead|Ryan Merriman|Kris Lemche,Horror|Thriller,25000000,118900000
719,Wolf Creek,2005,99,6.2,78000,Greg McLean,Greg McLean,Nathan Phillips|Cassandra Magrath|Kestie Morassi,Horror|Thriller,1000000,30894796
